,year,rank,song,singer,urls,top_predicted_genre,second_predicted_genre,display_genre
1574,2004,25,One Call Away,"Chingy,J-Weav,",https://www.youtube.com/watch?v=zhPiBZLun5k,Experimental,Electronic,Electronic
1583,2004,34,Diary,"Alicia Keys,Tony! Toni! Toné!,",https://www.youtube.com/watch?v=SLCtH9lRj7Q,Experimental,Electronic,Electronic
1590,2004,41,Milkshake,Kelis,https://www.youtube.com/watch?v=pGL2rytTraA,Electronic,Experimental,Electronic
1591,2004,42,Splash Waterfalls,Ludacris,https://www.youtube.com/watch?v=w_sTTvyiiPo,Experimental,Electronic,Electronic
1592,2004,43,Jesus Walks,Kanye West,https://www.youtube.com/watch?v=MYF7H_fpc-g,Experimental,Electronic,Electronic
1595,2004,46,Suga Suga,"Baby Bash,Frankie J,",https://www.youtube.com/watch?v=6rgStv12dwA,Experimental,Electronic,Electronic
1598,2004,49,Salt Shaker,"Ying Yang Twins,Lil Jon & the East Side Boyz,",https://www.youtube.com/watch?v=aJEzl31zL-I,Electronic,Experimental,Electronic
1560,2004,11,Tipsy,J-Kwon,https://www.youtube.com/watch?v=VwXeN2FsE7w,Hip-Hop,Electronic,Hip-Hop
1570,2004,21,Dirt Off Your Shoulder,Jay-Z,https://www.youtube.com/watch?v=Oz_-VaTHpc8,Hip-Hop,Experimental,Hip-Hop
1571,2004,22,Move Ya Body,Nina Sky,https://www.youtube.com/watch?v=Yadj4beoLKU,Hip-Hop,Electronic,Hip-Hop
1580,2004,31,Overnight Celebrity,Twista,https://www.youtube.com/watch?v=I177W0XJlT4,Hip-Hop,Electronic,Hip-Hop
1581,2004,32,Hotel,"Cassidy,R. Kelly,",https://www.youtube.com/watch?v=MKOT6teSarY,Hip-Hop,Experimental,Hip-Hop
1551,2004,2,Burn,Usher,https://www.youtube.com/watch?v=t5XNWFw5HVw,Experimental,Jazz,Jazz
1559,2004,10,Lean Back,"Terror Squad,Fat Joe,Remy Ma,",https://www.youtube.com/watch?v=ajmI1P3r1w4,Jazz,Experimental,Jazz
1578,2004,29,You Don't Know My Name,Alicia Keys,https://www.youtube.com/watch?v=_ST6ZRbhGiA,Jazz,Experimental,Jazz
1579,2004,30,My Place,"Nelly,Jaheim,",https://www.youtube.com/watch?v=Vh2I2HabjEM,Jazz,Experimental,Jazz
1584,2004,35,She Will Be Loved,Maroon 5,https://www.youtube.com/watch?v=nIjVuRTm-dc,Experimental,Jazz,Jazz
1596,2004,47,All Falls Down,"Kanye West,Syleena Johnson,",https://www.youtube.com/watch?v=8kyWDhB_QeI,Jazz,Experimental,Jazz
1565,2004,16,Slow Jamz,"Twista,Kanye West,Jamie Foxx,",https://www.youtube.com/watch?v=h_yJIlzvK0o,Experimental,Pop,Pop
1575,2004,26,"Me, Myself and I",Beyoncé,https://www.youtube.com/watch?v=4S37SGxZSMc,Experimental,Pop,Pop
1576,2004,27,Turn Me On,"Kevin Lyttle,Spragga Benz,",https://www.youtube.com/watch?v=GP3Exc5tCtc,Pop,Jazz,Pop
1577,2004,28,The First Cut Is the Deepest,Sheryl Crow,https://www.youtube.com/watch?v=c5NRH_DxWJE,Experimental,Pop,Pop
1582,2004,33,Numb,Linkin Park,https://www.youtube.com/watch?v=kXYiU_JCYtU,Experimental,Pop,Pop
1585,2004,36,White Flag,Dido,https://www.youtube.com/watch?v=j-fWDrZSiZs,Experimental,Pop,Pop
1589,2004,40,Leave (Get Out),JoJo,https://www.youtube.com/watch?v=fWzoSy6QEwk,Experimental,Pop,Pop
1593,2004,44,Locked Up,"Akon,Styles P,",https://www.youtube.com/watch?v=14PgWitIbSk,Experimental,Pop,Pop
1594,2004,45,Stand Up,"Ludacris,Shawnna,",https://www.youtube.com/watch?v=XM-RRHx0t20,Pop,Electronic,Pop
1599,2004,50,With You,Jessica Simpson,https://www.youtube.com/watch?v=VWl7WjAtBME,Experimental,Pop,Pop
1553,2004,4,This Love,Maroon 5,https://www.youtube.com/watch?v=XPpTgCho5ZA,Experimental,Rock,Rock
1566,2004,17,Someday,Nickelback,https://www.youtube.com/watch?v=lIVEbx8R1K8,Rock,Experimental,Rock
1568,2004,19,My Immortal,Evanescence,https://www.youtube.com/watch?v=5anLPw0Efmo,Experimental,Rock,Rock
1586,2004,37,Heaven,Los Lonely Boys,https://www.youtube.com/watch?v=wvkzoqQ5Oak,Experimental,Rock,Rock
1587,2004,38,It's My Life,No Doubt,https://www.youtube.com/watch?v=6XLRVj7QCkg,Rock,Experimental,Rock
1588,2004,39,Pieces of Me,Ashlee Simpson,https://www.youtube.com/watch?v=WJCsyLUCSXI,Experimental,Rock,Rock
1597,2004,48,Toxic,Britney Spears,https://www.youtube.com/watch?v=LOZuxwVk7TU,Experimental,Rock,Rock
1645,2005,46,Wake Me Up When September Ends,Green Day,https://www.youtube.com/watch?v=NU9JoFKlaZ0,Experimental,Classical,Classical
